Molecule Name, Total Rx_2015 ,%ofTotalRx_2015,cumulative % of totalRx_2015,CCDD,DPD Update Status,Priority,Comments
IOTA-CARRAGEENAN!SODIUM, 313 ,0.00%,99.99%,,,,
IPECAC, 22 ,0.00%,100.00%,,,,
IPILIMUMAB, -   ,0.00%,100.00%,,,,
IPRATROPIUM," 698,363 ",0.11%,85.03%,IN,,,
IPRATROPIUM!SALBUTAMOL," 60,915 ",0.01%,98.55%,IN QA,,,
IRBESARTAN," 2,670,035 ",0.42%,57.32%,IN,,,
IRINOTECAN, 3 ,0.00%,100.00%,,,,
IRON  FERROUS," 4,944,101 ",0.77%,39.58%,QUERY,,,
IRON  FERROUS!YEAST, -   ,0.00%,100.00%,,,,
IRON  METAL," 42,853 ",0.01%,98.95%,,,,
IRON  METAL!SUCROSE," 21,071 ",0.00%,99.52%,,,,
IRON DEXTRAN INJECTION," 16,332 ",0.00%,99.64%,,,,
IRON FERRIC, 411 ,0.00%,99.99%,,,,
IRON FERRIC!NIACINAMIDE!RIBOFLAVIN!THIAMINE, 138 ,0.00%,100.00%,,,,
ISOFLURANE, 4 ,0.00%,100.00%,,,,
ISONIAZID," 29,610 ",0.00%,99.33%,,,,
ISONIAZID!PYRAZINAMIDE!RIFAMPIN, -   ,0.00%,100.00%,,,,
ISOPROPYL ALCOHOL, 823 ,0.00%,99.98%,,,,
ISOPROPYL ALCOHOL!LAURYL ETHER SULFATES!POLYETHYLENE, 6 ,0.00%,100.00%,,,,
ISOPROPYL MYRISTATE," 10,924 ",0.00%,99.76%,,,,
ISOPROPYL PALMITATE!PETROLATUM!TAR, 66 ,0.00%,100.00%,,,,
ISOPROTERENOL, 38 ,0.00%,100.00%,,,,
ISOSORBIDE DINITRATE," 110,450 ",0.02%,97.11%,IN,,,
ISOSORBIDE-5-MONONITRATE," 821,294 ",0.13%,82.64%,IN,,,
ISOTRETINOIN," 258,023 ",0.04%,93.93%,NEXT,,,
ISPAGHULA," 11,627 ",0.00%,99.74%,,,,
ITRACONAZOLE," 33,324 ",0.01%,99.21%,,,,
IUD-COPPER WIRE, -   ,0.00%,100.00%,,,,
IVACAFTOR, 542 ,0.00%,99.99%,,,,
IVERMECTIN," 10,078 ",0.00%,99.78%,,,,
KAOLIN!PECTIN, -   ,0.00%,100.00%,,,,
KELP, 92 ,0.00%,100.00%,,,,
KETAMINE," 3,262 ",0.00%,99.93%,,,,
KETOCONAZOLE," 265,172 ",0.04%,93.77%,NEXT,,,
KETOPROFEN," 20,553 ",0.00%,99.53%,,,,
KETOROLAC," 731,357 ",0.11%,84.47%,IN,,,
KETOTIFEN," 64,358 ",0.01%,98.37%,,,,
LABETALOL," 254,011 ",0.04%,94.01%,IN,,,
LACOSAMIDE," 86,058 ",0.01%,97.89%,,,,
LACTASE," 55,835 ",0.01%,98.63%,,,,
LACTOBACILLUS ACIDOPHILUS, 418 ,0.00%,99.99%,,,,
LACTOBACILLUS ACIDOPHILUS!LACTOBACILLUS CASEI!LACTOBACILLUS RHAMNOSUS," 2,258 ",0.00%,99.95%,,,,
LACTOBACILLUS ACIDOPHILUS!LACTOBACILLUS RHAMNOSUS!LACTOBACILLUS SALIVARIUS, 311 ,0.00%,99.99%,,,,
LACTOBACILLUS ACIDOPHILUS!LACTOBACILLUS RHAMNOSUS!LACTOSE!STREPTOCOCCUS THERMOPHILUS," 2,520 ",0.00%,99.94%,,,,
LACTOBACILLUS ACIDOPHILUS!STREPTOCOCCUS, 16 ,0.00%,100.00%,,,,
LACTOBACILLUS BREVIS!LACTOBACILLUS CASEI!LACTOBACILLUS PLANTARUM!LACTOBACILLUS RHAMNOSUS!LACTOBACILLUS SALIVARIUS, 4 ,0.00%,100.00%,,,,
LACTOBACILLUS GASSERI!LACTOBACILLUS RHAMNOSUS, 132 ,0.00%,100.00%,,,,
LACTOBACILLUS PLANTARUM," 2,790 ",0.00%,99.94%,,,,
LACTOBACILLUS REUTERI," 15,784 ",0.00%,99.65%,,,,
LACTOBACILLUS RHAMNOSUS, 1 ,0.00%,100.00%,,,,
LACTULOSE," 665,261 ",0.10%,85.89%,IN,Rev Bur,low,
LAMIVUDINE," 37,425 ",0.01%,99.09%,,,,
LAMIVUDINE!ZIDOVUDINE," 7,078 ",0.00%,99.84%,,,,
LAMOTRIGINE," 1,113,339 ",0.17%,78.37%,IN,,,
LANOLIN, 4 ,0.00%,100.00%,,,,
LANOLIN!PETROLATUM, 245 ,0.00%,100.00%,,,,
LANOLIN!PETROLATUM!PROPYLENE GLYCOL!TITANIUM, 408 ,0.00%,99.99%,,,,
LANREOTIDE," 1,459 ",0.00%,99.97%,,,,
LANSOPRAZOLE," 2,801,507 ",0.44%,56.03%,IN,,,
LANTHANUM," 29,042 ",0.00%,99.35%,,,,
LAPATINIB, 572 ,0.00%,99.99%,,,,
LARONIDASE, 257 ,0.00%,100.00%,,,,
LATANOPROST," 908,721 ",0.14%,81.55%,IN,,,
LATANOPROST!TIMOLOL," 201,643 ",0.03%,94.99%,NEXT,,,
LECITHIN," 1,244 ",0.00%,99.97%,,,,
LEDIPASVIR!SOFOSBUVIR," 71,522 ",0.01%,98.26%,,,,
LEFLUNOMIDE," 135,392 ",0.02%,96.57%,,,,
LENALIDOMIDE," 1,330 ",0.00%,99.97%,,,,
LEPIRUDIN, -   ,0.00%,100.00%,,,,
LETROZOLE," 228,446 ",0.04%,94.61%,NEXT,,,
LEUCOVORIN," 61,092 ",0.01%,98.54%,,,,
LEUPROLIDE," 76,460 ",0.01%,98.11%,,,,
LEVETIRACETAM," 583,842 ",0.09%,87.92%,IN,,,
LEVOBUNOLOL," 28,293 ",0.00%,99.37%,,,,
LEVOCABASTINE," 4,787 ",0.00%,99.89%,,,,
LEVOFLOXACIN," 363,545 ",0.06%,91.28%,IN,,,
LEVOMILNACIPRAN, 2 ,0.00%,100.00%,,,,
LEVONORGESTREL," 331,471 ",0.05%,92.20%,NEXT,,,
LEVOTHYROXINE," 19,321,065 ",3.02%,3.02%,IN,,,
LIDOCAINE," 110,258 ",0.02%,97.15%,,,,
LIDOCAINE!METHYLPREDNISOLONE," 39,112 ",0.01%,99.02%,,,,
LIDOCAINE!POLYMYXIN B, 1 ,0.00%,100.00%,,,,
LIDOCAINE!PRILOCAINE," 51,598 ",0.01%,98.74%,,,,
LINACLOTIDE," 31,820 ",0.00%,99.26%,,,,
LINAGLIPTIN," 495,401 ",0.08%,89.10%,NEXT,,,
LINAGLIPTIN!METFORMIN," 114,052 ",0.02%,96.99%,,,,
LINCOMYCIN, 44 ,0.00%,100.00%,,,,
LINDANE, 31 ,0.00%,100.00%,,,,
LINEZOLID," 2,603 ",0.00%,99.94%,,,,
LINSEED," 2,829 ",0.00%,99.93%,,,,
LINSEED!UBIQUINOL, 438 ,0.00%,99.99%,,,,
LIOTHYRONINE," 77,906 ",0.01%,98.05%,,,,
LIP PROTECTANTS, 6 ,0.00%,100.00%,,,,
LIRAGLUTIDE," 327,384 ",0.05%,92.25%,NEXT,,,
LISDEXAMFETAMINE," 1,012,615 ",0.16%,80.04%,IN,,,
LISINOPRIL," 945,523 ",0.15%,81.26%,IN,,,
LITHIUM," 1,344,243 ",0.21%,74.56%,IN,,,
LODOXAMIDE," 14,978 ",0.00%,99.68%,,,,
LOMITAPIDE, -   ,0.00%,100.00%,,,,
LOMUSTINE, 685 ,0.00%,99.98%,,,,
LOPERAMIDE," 356,423 ",0.06%,91.56%,NEXT,,,
LOPERAMIDE!SIMETHICONE," 1,616 ",0.00%,99.96%,,,,
LOPINAVIR!RITONAVIR," 19,307 ",0.00%,99.56%,,,,
LORATADINE," 93,533 ",0.01%,97.80%,,,,
LORATADINE!PSEUDOEPHEDRINE," 2,429 ",0.00%,99.95%,,,,
LORAZEPAM," 7,612,675 ",1.19%,25.18%,IN,,,
LOSARTAN," 1,335,939 ",0.21%,74.77%,IN,,,
LOTEPREDNOL ETABONATE," 176,243 ",0.03%,95.54%,,,,
LOVASTATIN," 121,712 ",0.02%,96.81%,,,,
LOVASTATIN!NICOTINIC ACID, -   ,0.00%,100.00%,,,,
LOXAPINE," 282,719 ",0.04%,93.26%,NEXT,,,
LUBRICANTS," 4,424 ",0.00%,99.90%,,,,
LUMIRACOXIB, -   ,0.00%,100.00%,,,,
LURASIDONE," 192,040 ",0.03%,95.14%,,,,
LUTEIN," 4,431 ",0.00%,99.90%,,,,
LUTROPIN ALFA," 2,765 ",0.00%,99.94%,,,,
LYSINE, 304 ,0.00%,99.99%,,,,
MACITENTAN," 1,272 ",0.00%,99.97%,,,,
MAGNESIUM," 612,101 ",0.10%,87.27%,QUERY,,,
MAGNESIUM!MELATONIN, -   ,0.00%,100.00%,,,,
MAGNESIUM!PETROLATUM, 7 ,0.00%,100.00%,,,,
MAGNESIUM!POTASSIUM!SODIUM, 1 ,0.00%,100.00%,,,,
MALTODEXTRIN, 234 ,0.00%,100.00%,,,,
MANGANESE, 49 ,0.00%,100.00%,,,,
MANNITOL, 16 ,0.00%,100.00%,,,,
MAPROTILINE, -   ,0.00%,100.00%,,,,
MARAVIROC," 4,365 ",0.00%,99.90%,,,,
MARJORAM!VITAMIN E, -   ,0.00%,100.00%,,,,
"MEASLES,MUMPS,AND RUBELLA VIRUS", 976 ,0.00%,99.98%,,,,
"MEASLES,MUMPS,AND RUBELLA VIRUS!VACCINE VARICELLA", -   ,0.00%,100.00%,,,,
MEBENDAZOLE," 63,642 ",0.01%,98.39%,,,,
MECHLORETHAMINE, 22 ,0.00%,100.00%,,,,
MECLIZINE, 393 ,0.00%,99.99%,,,,
MEDROXYPROGESTERONE," 1,071,220 ",0.17%,79.39%,IN,,,
MEFENAMIC ACID," 50,606 ",0.01%,98.78%,,,,
MEFLOQUINE," 30,670 ",0.00%,99.30%,,,,
MEGESTROL," 27,767 ",0.00%,99.39%,,,,
MELATONIN," 174,848 ",0.03%,95.57%,IN QA,,,
MELATONIN!SEROTONIN!THEANINE, 74 ,0.00%,100.00%,,,,
MELON PUMPKIN!SABALA SERRULATA!SELENIUM!ZINC, 87 ,0.00%,100.00%,,,,
MELOXICAM," 761,614 ",0.12%,84.12%,IN,,,
MELPHALAN," 2,743 ",0.00%,99.94%,,,,
MEMANTINE," 306,103 ",0.05%,92.84%,NEXT,,,
MENINGOCOCCAL POLYSACCHARIDE VAC," 19,528 ",0.00%,99.55%,,,,
MENINGOCOCCAL POLYSACCHARIDE VAC!OTHER PROTEINS POLYPEPTIDES AND, 3 ,0.00%,100.00%,,,,
MENINGOCOCCAL POLYSACCHARIDE VAC!TETANUS PURIFIED TOXOID, 100 ,0.00%,100.00%,,,,
MENTHOL," 4,431 ",0.00%,99.90%,,,,
MENTHOL!P-AMINOBENZOIC ACID," 1,019 ",0.00%,99.98%,,,,
MENTHOL!PRAMOXINE, 199 ,0.00%,100.00%,,,,
MENTHOL!PYRITHIONE, 931 ,0.00%,99.98%,,,,
MENTHOL!SALICYLIC ACID, 199 ,0.00%,100.00%,,,,
MENTHOL!TAR, 484 ,0.00%,99.99%,,,,
MENTHOL!TROLAMINE, 18 ,0.00%,100.00%,,,,
MENTHOL!ZINC, 522 ,0.00%,99.99%,,,,
MEPERIDINE," 98,069 ",0.02%,97.75%,,,,
MEPIVACAINE, 46 ,0.00%,100.00%,,,,
MEPOLIZUMAB, -   ,0.00%,100.00%,IN QA,,,
MEQUINOL!TRETINOIN, -   ,0.00%,100.00%,,,,
MERCAPTOPURINE," 63,352 ",0.01%,98.41%,,,,
MEROPENEM," 6,355 ",0.00%,99.85%,,,,
MESALAMINE," 731,328 ",0.11%,84.69%,IN,,,
MESNA, 67 ,0.00%,100.00%,,,,
MESTRANOL!NORETHINDRONE, -   ,0.00%,100.00%,,,,
METFORMIN," 13,065,939 ",2.05%,15.06%,IN,,,
METFORMIN!ROSIGLITAZONE," 10,246 ",0.00%,99.78%,,,,
METFORMIN!SAXAGLIPTIN," 154,613 ",0.02%,96.09%,,,,
METFORMIN!SITAGLIPTIN," 1,583,105 ",0.25%,71.63%,IN,,,
METHADONE," 7,316,927 ",1.15%,27.49%,IN,,,
METHAZOLAMIDE," 17,548 ",0.00%,99.61%,,,,
METHENAMINE," 5,249 ",0.00%,99.87%,,,,
METHENAMINE!SODIUM!TARTARIC ACID, -   ,0.00%,100.00%,,,,
METHOCARBAMOL," 11,432 ",0.00%,99.75%,,,,
METHOTREXATE," 1,223,333 ",0.19%,76.16%,QA ISSUES,Rev Bur,High,
METHOTRIMEPRAZINE," 250,973 ",0.04%,94.05%,NEXT,,,
METHOXSALEN, 103 ,0.00%,100.00%,,,,
METHSUXIMIDE, 37 ,0.00%,100.00%,,,,
METHYLBENZETHONIUM HYDROXIDE, -   ,0.00%,100.00%,,,,
METHYLCELLULOSE, 2 ,0.00%,100.00%,,,,
METHYLCELLULOSE!SORBITOL, 341 ,0.00%,99.99%,,,,
METHYLDOPA," 62,784 ",0.01%,98.47%,,,,
METHYLENE BLUE, 187 ,0.00%,100.00%,,,,
METHYLENE BLUE!NAPHAZOLINE, 83 ,0.00%,100.00%,,,,
METHYLNALTREXONE, 317 ,0.00%,99.99%,,,,
METHYLPARABEN!PROPYL PARABEN!SUCCINYLCHOLINE, 2 ,0.00%,100.00%,,,,
METHYLPHENIDATE," 3,211,045 ",0.50%,51.79%,IN,,,
METHYLPREDNISOLONE," 332,589 ",0.05%,92.10%,NEXT,,,
METHYLPREDNISOLONE!NEOMYCIN, 6 ,0.00%,100.00%,,,,
METHYLTESTOSTERONE, 49 ,0.00%,100.00%,,,,
METHYSERGIDE, -   ,0.00%,100.00%,,,,
METOCLOPRAMIDE," 464,535 ",0.07%,89.47%,IN,,,
METOLAZONE," 128,696 ",0.02%,96.67%,,,,
METOPROLOL," 8,138,729 ",1.27%,22.79%,IN,,,
METRONIDAZOLE," 1,075,536 ",0.17%,79.22%,IN,,,
METRONIDAZOLE!NYSTATIN," 63,282 ",0.01%,98.43%,,,,
METYRAPONE, 1 ,0.00%,100.00%,,,,
MEXILETINE," 10,364 ",0.00%,99.78%,,,,
MICAFUNGIN, 198 ,0.00%,100.00%,,,,
MICONAZOLE," 26,604 ",0.00%,99.42%,,,,
MIDAZOLAM," 33,310 ",0.01%,99.22%,IN QA,,,
MIDODRINE," 98,312 ",0.02%,97.71%,,,,
MIGLUSTAT, 625 ,0.00%,99.99%,,,,
MILKTHISTLE, 343 ,0.00%,99.99%,,,,
MILRINONE, 19 ,0.00%,100.00%,,,,
MINOCYCLINE," 427,464 ",0.07%,90.43%,IN,,,
MINOXIDIL," 47,914 ",0.01%,98.86%,IN,,,
MIRABEGRON," 300,707 ",0.05%,93.03%,NEXT,,,
MIRTAZAPINE," 2,793,620 ",0.44%,56.47%,IN,,,
MISOPROSTOL," 110,624 ",0.02%,97.10%,,,,
MITOMYCIN, 73 ,0.00%,100.00%,,,,
MITOTANE," 2,002 ",0.00%,99.95%,,,,
MITOXANTRONE, -   ,0.00%,100.00%,,,,
MOCLOBEMIDE," 38,073 ",0.01%,99.07%,,,,
MODAFINIL," 101,716 ",0.02%,97.59%,,,,
MOMETASONE," 3,118,790 ",0.49%,53.26%,IN,QA Issue,low,
MONOBENZONE, 1 ,0.00%,100.00%,,,,
MONTELUKAST," 1,282,954 ",0.20%,75.59%,IN,,,
MORPHINE," 2,046,403 ",0.32%,64.82%,QA ISSUES,Rev Bur,High,
MOXIFLOXACIN," 1,005,627 ",0.16%,80.20%,IN,,,
MULTIVITAMINS, -   ,0.00%,100.00%,,,,
MULTIVITAMINS & MINERALS," 47,318 ",0.01%,98.88%,,,,
MUPIROCIN," 503,827 ",0.08%,88.94%,IN,,,
MYCOPHENOLATE MOFETIL," 165,435 ",0.03%,95.89%,,,,
MYCOPHENOLIC ACID," 105,591 ",0.02%,97.30%,,,,
MYRTILLUS, 425 ,0.00%,99.99%,,,,
NABILONE," 400,221 ",0.06%,90.75%,NEXT,,,
NABUMETONE," 9,810 ",0.00%,99.79%,,,,
NADOLOL," 303,698 ",0.05%,92.89%,IN,,,
NADROPARIN CALC, 461 ,0.00%,99.99%,,,,
NAFARELIN, 738 ,0.00%,99.98%,,,,
NAFTIFINE, -   ,0.00%,100.00%,,,,
NALBUPHINE, 3 ,0.00%,100.00%,,,,
NALOXEGOL, 278 ,0.00%,99.99%,,,,
NALOXONE," 1,517 ",0.00%,99.97%,,,,
NALOXONE!OXYCODONE," 39,027 ",0.01%,99.03%,,,,
NALTREXONE," 42,848 ",0.01%,98.96%,,,,
NANDROLONE, -   ,0.00%,100.00%,,,,
NAPHAZOLINE, 674 ,0.00%,99.99%,,,,
NAPHAZOLINE!PHENIRAMINE," 1,334 ",0.00%,99.97%,,,,
NAPROXEN," 4,030,128 ",0.63%,45.75%,IN,,,
NARATRIPTAN," 67,613 ",0.01%,98.34%,IN QA,,,
NATALIZUMAB," 13,057 ",0.00%,99.72%,,,,
NATEGLINIDE, 231 ,0.00%,100.00%,NEXT,,,
NEBIVOLOL," 34,629 ",0.01%,99.17%,IN,,,
NEDOCROMIL," 5,908 ",0.00%,99.86%,,,,
NEFAZODONE, 1 ,0.00%,100.00%,,,,
NELFINAVIR, 341 ,0.00%,99.99%,,,,
NEOMYCIN!POLYMYXIN B, -   ,0.00%,100.00%,,,,
NEOSTIGMINE," 9,759 ",0.00%,99.79%,,,,
NEPAFENAC," 210,524 ",0.03%,94.89%,NEXT,,,
NEVIRAPINE," 12,895 ",0.00%,99.73%,,,,
NIACINAMIDE, 27 ,0.00%,100.00%,,,,
NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE, 12 ,0.00%,100.00%,,,,
NICARDIPINE, -   ,0.00%,100.00%,,,,
NICOTINE," 731,347 ",0.11%,84.58%,IN,,,
NICOTINE!SODIUM," 15,689 ",0.00%,99.66%,,,,
NICOTINIC ACID," 104,656 ",0.02%,97.35%,,,,
NICOTINIC ACID!RIBOFLAVIN!THIAMINE!YEAST, -   ,0.00%,100.00%,,,,
NIFEDIPINE," 3,029,321 ",0.47%,53.74%,IN,,,
NILOTINIB," 4,950 ",0.00%,99.88%,,,,
NILUTAMIDE," 1,431 ",0.00%,99.97%,,,,
NIMODIPINE, 365 ,0.00%,99.99%,,,,
NINTEDANIB, 279 ,0.00%,99.99%,,,,
NITRAZEPAM," 199,007 ",0.03%,95.05%,IN QA,,,
NITROFURANTOIN," 1,364,031 ",0.21%,74.14%,IN,,,
NITROGLYCERIN," 1,388,139 ",0.22%,73.71%,IN,Rev Bur,low,
NITROPRUSSIDE, 2 ,0.00%,100.00%,,,,
NIVOLUMAB, -   ,0.00%,100.00%,,,,
NIZATIDINE," 20,169 ",0.00%,99.54%,,,,
NON PHARMACEUTICAL INGREDIENT," 2,651,004 ",0.41%,57.73%,Not in scope,,,
NON-MEDICATED EYE DROPS," 10,176 ",0.00%,99.78%,,,,
NON-MEDICATED SHAMPOOS, 226 ,0.00%,100.00%,,,,
NONOXINOL, -   ,0.00%,100.00%,,,,
NOREPINEPHRINE, 52 ,0.00%,100.00%,,,,
NORETHINDRONE," 413,093 ",0.06%,90.69%,IN,,,
NORFLOXACIN," 110,380 ",0.02%,97.13%,,,,
NORMETHADONE!P-HYDROXYEPHEDRINE," 33,678 ",0.01%,99.21%,,,,
NORTRIPTYLINE," 623,513 ",0.10%,86.49%,IN,,,
NYLIDRIN, 1 ,0.00%,100.00%,,,,
NYSTATIN," 438,419 ",0.07%,89.95%,IN,,,
OAT," 1,988 ",0.00%,99.96%,,,,
OAT!SALICYLIC ACID," 1,338 ",0.00%,99.97%,,,,
OCRIPLASMIN, 191 ,0.00%,100.00%,,,,
OCTOCRILENE!OCTYL SALICYLATE!OCTYLMETHOXYCINNAMIC ACID!OXYBENZONE, 5 ,0.00%,100.00%,,,,
OCTOCRILENE!OCTYL SALICYLATE!OCTYLMETHOXYCINNAMIC ACID!OXYBENZONE!TITANIUM, 165 ,0.00%,100.00%,,,,
OCTREOTIDE," 36,689 ",0.01%,99.11%,,,,
OCTYLMETHOXYCINNAMIC ACID, 4 ,0.00%,100.00%,,,,
OCTYLMETHOXYCINNAMIC ACID!OXYBENZONE, 52 ,0.00%,100.00%,,,,
OCTYLMETHOXYCINNAMIC ACID!SUN TAN LOTION, 147 ,0.00%,100.00%,,,,
OFLOXACIN," 38,556 ",0.01%,99.05%,,,,
OLANZAPINE," 2,645,718 ",0.41%,58.15%,IN,,,
OLEIC ACID, 214 ,0.00%,100.00%,,,,
OLIVE, 134 ,0.00%,100.00%,,,,
OLIVE!SOYA, 2 ,0.00%,100.00%,,,,
OLMESARTAN MEDOXOMIL," 956,259 ",0.15%,81.12%,IN,,,
OLODATEROL!TIOTROPIUM BROMIDE," 3,508 ",0.00%,99.92%,IN QA,,,
OLOPATADINE," 574,668 ",0.09%,88.10%,IN,,,
OLSALAZINE," 1,911 ",0.00%,99.96%,,,,
OMALIZUMAB," 60,266 ",0.01%,98.57%,IN QA,,,
OMBITASVIR!PARITAPREVIR!RITONAVIR, 4 ,0.00%,100.00%,,,,
OMEPRAZOLE," 2,765,427 ",0.43%,56.90%,IN,,,
ONDANSETRON," 337,491 ",0.05%,91.94%,NEXT,,,
ORCIPRENALINE," 28,064 ",0.00%,99.38%,IN QA,,,
ORLISTAT," 55,967 ",0.01%,98.62%,,,,
ORPHENADRINE," 79,972 ",0.01%,97.99%,,,,
OSELTAMIVIR," 248,392 ",0.04%,94.21%,NEXT,,,
OTHER TESTS," 1,310 ",0.00%,99.97%,,,,
OXACILLIN, 14 ,0.00%,100.00%,,,,
OXALIPLATIN, -   ,0.00%,100.00%,,,,
OXAPROZIN, -   ,0.00%,100.00%,,,,
OXAZEPAM," 2,365,478 ",0.37%,62.07%,IN,,,
OXCARBAZEPINE," 73,642 ",0.01%,98.21%,,,,
OXICONAZOLE, -   ,0.00%,100.00%,,,,
OXPRENOLOL, -   ,0.00%,100.00%,,,,
OXTRIPHYLLINE, 732 ,0.00%,99.98%,IN QA,,,
OXYBENZONE, -   ,0.00%,100.00%,,,,
OXYBUTYNIN," 872,136 ",0.14%,82.11%,IN,Rev Bur,low,
OXYCODONE," 1,812,956 ",0.28%,68.71%,IN,,,
OXYMETAZOLINE," 4,224 ",0.00%,99.90%,,,,
OXYMORPHONE, 2 ,0.00%,100.00%,,,,
OXYTOCIN, 276 ,0.00%,99.99%,,,,
PACLITAXEL, 50 ,0.00%,100.00%,,,,
PALBOCICLIB, -   ,0.00%,100.00%,,,,
PALIPERIDONE," 273,795 ",0.04%,93.52%,NEXT,,,
PALIVIZUMAB, -   ,0.00%,100.00%,,,,
PALONOSETRON," 1,064 ",0.00%,99.98%,,,,
PAMIDRONIC ACID," 19,442 ",0.00%,99.55%,,,,
PANCREATIN," 20,206 ",0.00%,99.54%,,,,
PANCRELIPASE," 9,964 ",0.00%,99.79%,,,,
PANCURONIUM, -   ,0.00%,100.00%,,,,
PANITUMUMAB, 5 ,0.00%,100.00%,,,,
PANTOPRAZOLE," 16,692,635 ",2.61%,8.39%,IN,,,
PANTOTHENIC ACID, -   ,0.00%,100.00%,,,,
PAPAIN, 13 ,0.00%,100.00%,,,,
PAPAVERINE," 2,218 ",0.00%,99.95%,,,,
PARAMETHADIONE, 8 ,0.00%,100.00%,,,,
PAROMOMYCIN," 1,653 ",0.00%,99.96%,,,,
PAROXETINE," 2,331,798 ",0.37%,62.43%,IN,,,
PASIREOTIDE, 39 ,0.00%,100.00%,,,,
PAZOPANIB," 2,358 ",0.00%,99.95%,,,,
PEGFILGRASTIM," 21,269 ",0.00%,99.51%,,,,
PEGINTERFERON ALFA 2A, 496 ,0.00%,99.99%,,,,
PEGINTERFERON ALFA 2A!RIBAVIRIN," 3,727 ",0.00%,99.92%,,,,
PEGINTERFERON BETA-1A, 4 ,0.00%,100.00%,,,,
PEGVISOMANT," 1,998 ",0.00%,99.95%,,,,
PEMBROLIZUMAB, 300 ,0.00%,99.99%,,,,
PEMETREXED, 42 ,0.00%,100.00%,,,,
PENCICLOVIR, -   ,0.00%,100.00%,,,,
PENICILLAMINE," 2,749 ",0.00%,99.94%,,,,
PENICILLIN G," 5,558 ",0.00%,99.87%,IN QA,,,
PENICILLIN V," 763,880 ",0.12%,83.88%,IN,,,
PENTAMIDINE, 998 ,0.00%,99.98%,,,,
PENTAZOCINE," 12,975 ",0.00%,99.73%,,,,
PENTOBARBITAL, 150 ,0.00%,100.00%,,,,
PENTOSAN POLYSULFATE," 84,483 ",0.01%,97.90%,,,,
PENTOXIFYLLINE," 101,871 ",0.02%,97.56%,,,,
PEPPERMINT, -   ,0.00%,100.00%,,,,
PEPSIN, 111 ,0.00%,100.00%,,,,
PERAMPANEL," 10,039 ",0.00%,99.79%,,,,
PERICIAZINE," 4,949 ",0.00%,99.88%,,,,
PERINDOPRIL," 5,525,570 ",0.86%,36.36%,IN,,,
PERMETHRIN," 155,013 ",0.02%,96.06%,,,,
PERPHENAZINE," 99,619 ",0.02%,97.62%,,,,
PERTUZUMAB, 799 ,0.00%,99.98%,,,,
PETROLATUM," 146,354 ",0.02%,96.41%,,,,
PETROLATUM!UREA," 4,168 ",0.00%,99.91%,,,,
PHENAZOPYRIDINE," 1,958 ",0.00%,99.96%,,,,
PHENAZOPYRIDINE!SULFAMETHOXAZOLE, 7 ,0.00%,100.00%,,,,
PHENELZINE," 9,572 ",0.00%,99.80%,,,,
PHENIRAMINE!PHENYLEPHRINE, 345 ,0.00%,99.99%,,,,
PHENIRAMINE!PYRILAMINE, -   ,0.00%,100.00%,,,,
PHENOBARBITAL," 228,280 ",0.04%,94.65%,NEXT,,,
PHENOBARBITAL!PHENYTOIN, -   ,0.00%,100.00%,,,,
PHENOL, 503 ,0.00%,99.99%,,,,
PHENOL!ZINC, 164 ,0.00%,100.00%,,,,
PHENOLPHTHALEIN, 4 ,0.00%,100.00%,,,,
PHENTERMINE, -   ,0.00%,100.00%,,,,
PHENTOLAMINE, 940 ,0.00%,99.98%,,,,
PHENYLBUTAZONE, -   ,0.00%,100.00%,,,,
PHENYLBUTAZONE!SALICYLAMIDE, -   ,0.00%,100.00%,,,,
PHENYLEPHRINE," 5,213 ",0.00%,99.88%,,,,
PHENYLEPHRINE!TROPICAMIDE, -   ,0.00%,100.00%,,,,
PHENYTOIN," 1,089,312 ",0.17%,78.71%,IN,,,
PHOSPHOLIPIDS, 1 ,0.00%,100.00%,,,,
PHOSPHORIC ACID!POTASSIUM!SODIUM, 915 ,0.00%,99.98%,,,,
PHYTONADIONE," 11,492 ",0.00%,99.75%,,,,
PILOCARPINE," 94,294 ",0.01%,97.77%,,,,
PIMECROLIMUS," 68,693 ",0.01%,98.31%,,,,
PIMOZIDE," 27,489 ",0.00%,99.41%,,,,
PINAVERIUM HYDROXIDE," 176,529 ",0.03%,95.51%,,,,
PINDOLOL," 77,687 ",0.01%,98.06%,IN,,,
PIOGLITAZONE," 215,787 ",0.03%,94.82%,IN,,,
PIPERACILLIN, 5 ,0.00%,100.00%,,,,
PIPERACILLIN!TAZOBACTAM," 8,847 ",0.00%,99.81%,,,,
PIPERAZINE, -   ,0.00%,100.00%,,,,
PIPERONYL BUTOXIDE!PYRETHRINS," 18,358 ",0.00%,99.58%,,,,
PIPOTIAZINE," 4,593 ",0.00%,99.89%,,,,
PIRFENIDONE," 3,344 ",0.00%,99.93%,,,,
PIROXICAM," 14,622 ",0.00%,99.68%,,,,
PIVAMPICILLIN, -   ,0.00%,100.00%,,,,
PIZOTYLINE," 20,409 ",0.00%,99.53%,,,,
PLACEBO," 6,764 ",0.00%,99.84%,,,,
PLERIXAFOR, 143 ,0.00%,100.00%,,,,
PNEUMOCOCCAL VACCINE," 5,818 ",0.00%,99.86%,,,,
PODOPHYLLIN," 3,560 ",0.00%,99.92%,,,,
