"","Active Ingredient","ACTIVE_INGREDIENT_CODE","n_names","ingredient_names","basis_of_strength_ing","precise_ing","AI UNII","AM UNII","Active Moiety","Basis of Strength","RD UNII","Referenced Drug"
"999","MINERAL OIL","7140",1,"MINERAL OIL","MINERAL OIL","MINERAL OIL","T5L8T28FGP","T5L8T28FGP","MINERAL OIL","Active Ingredient","",""
"1000","MINERAL OIL LIGHT","298",1,"MINERAL OIL LIGHT","MINERAL OIL LIGHT","MINERAL OIL LIGHT",NA,NA,NA,NA,NA,NA
"1001","MINOCYCLINE","11182",1,"MINOCYCLINE (MINOCYCLINE HYDROCHLORIDE)","MINOCYCLINE","MINOCYCLINE HYDROCHLORIDE","FYY3R43WGO","FYY3R43WGO","MINOCYCLINE","Active Ingredient","",""
"1002","MINOXIDIL","2011",1,"MINOXIDIL","MINOXIDIL","MINOXIDIL","5965120SH1","5965120SH1","MINOXIDIL","Active Ingredient","",""
"1003","MIRABEGRON","22029",1,"Mirabegron","Mirabegron","Mirabegron","MVR3JL3B2V","MVR3JL3B2V","MIRABEGRON","Active Ingredient","",""
"1004","MIRTAZAPINE","12209",1,"MIRTAZAPINE","MIRTAZAPINE","MIRTAZAPINE","A051Q2099Q","A051Q2099Q","MIRTAZAPINE","Active Ingredient","",""
"1005","MISOPROSTOL","1859",1,"MISOPROSTOL","MISOPROSTOL","MISOPROSTOL","0E43V0BB57","0E43V0BB57","MISOPROSTOL","Active Ingredient","",""
"1006","MITOMYCIN","2195",1,"MITOMYCIN","MITOMYCIN","MITOMYCIN","50SG953SK6","50SG953SK6","MITOMYCIN","Active Ingredient","",""
"1007","MITOTANE","2100",1,"MITOTANE","MITOTANE","MITOTANE","78E4J5IB5J","78E4J5IB5J","MITOTANE","Active Ingredient","",""
"1008","MITOXANTRONE","11343",1,"MITOXANTRONE (MITOXANTRONE HYDROCHLORIDE)","MITOXANTRONE","MITOXANTRONE HYDROCHLORIDE","BZ114NVM5P","BZ114NVM5P","MITOXANTRONE","Active Ingredient","",""
"1009","MOCLOBEMIDE","7943",1,"MOCLOBEMIDE","MOCLOBEMIDE","MOCLOBEMIDE","PJ0Y7AZB63","PJ0Y7AZB63","MOCLOBEMIDE","Active Ingredient","",""
"1010","MODAFINIL","11852",1,"MODAFINIL","MODAFINIL","MODAFINIL","R3UK8X3U3D","R3UK8X3U3D","MODAFINIL","Active Ingredient","",""
"1011","MODIFIED RAGWEED TYROSINE ADSORBATE","12719",1,"MODIFIED RAGWEED TYROSINE ADSORBATE","MODIFIED RAGWEED TYROSINE ADSORBATE","MODIFIED RAGWEED TYROSINE ADSORBATE",NA,NA,NA,NA,NA,NA
"1012","MODIFIED VACCINIA VIRUS","22173",1,"Modified Vaccinia Virus (Ankara-Bavarian Nordic)","Modified Vaccinia Virus","Ankara-Bavarian Nordic",NA,NA,NA,NA,NA,NA
"1013","MOMETASONE FUROATE","7504",2,"MOMETASONE FUROATE|MOMETASONE FUROATE (MOMETASONE FUROATE MONOHYDRATE)","MOMETASONE FUROATE","MOMETASONE FUROATE MONOHYDRATE","04201GDN4R","8HR4QJ6DW8","MOMETASONE","Active Ingredient","",""
"1014","MONTELUKAST","11784",1,"MONTELUKAST (MONTELUKAST SODIUM)","MONTELUKAST","MONTELUKAST SODIUM","MHM278SD3E","MHM278SD3E","MONTELUKAST","Active Ingredient","",""
"1015","MOROCTOCOG ALFA","12787",1,"MOROCTOCOG ALFA","MOROCTOCOG ALFA","MOROCTOCOG ALFA",NA,NA,NA,NA,NA,NA
"1016","MORPHINE HYDROCHLORIDE","9913",1,"MORPHINE HYDROCHLORIDE","MORPHINE HYDROCHLORIDE","MORPHINE HYDROCHLORIDE","J28GE0ROVX","76I7G6D29C","MORPHINE","","",""
"1017","MORPHINE SULFATE","9117",1,"MORPHINE SULFATE","MORPHINE SULFATE","MORPHINE SULFATE","X3P646A2J0","76I7G6D29C","MORPHINE","Active Ingredient","",""
"1018","MOXIFLOXACIN","12034",1,"MOXIFLOXACIN (MOXIFLOXACIN HYDROCHLORIDE)","MOXIFLOXACIN","MOXIFLOXACIN HYDROCHLORIDE","U188XYD42P","U188XYD42P","MOXIFLOXACIN","Active Ingredient","",""
"1019","MUMPS VIRUS VACCINE LIVE ATTENUATED","11271",1,"MUMPS VIRUS VACCINE LIVE ATTENUATED (JERYL LYNN STRAIN)","MUMPS VIRUS VACCINE LIVE ATTENUATED","JERYL LYNN STRAIN",NA,NA,NA,NA,NA,NA
"1020","MUPIROCIN","1832",2,"MUPIROCIN|MUPIROCIN (MUPIROCIN CALCIUM DIHYDRATE)","MUPIROCIN","MUPIROCIN CALCIUM DIHYDRATE","D0GX863OA5","D0GX863OA5","MUPIROCIN","Active Ingredient","",""
"1021","MYCOPHENOLATE MOFETIL","118",2,"MYCOPHENOLATE MOFETIL|MYCOPHENOLATE MOFETIL (MYCOPHENOLATE MOFETIL HYDROCHLORIDE)","MYCOPHENOLATE MOFETIL","MYCOPHENOLATE MOFETIL HYDROCHLORIDE","9242ECW6R0","HU9DX48N0T","MYCOPHENOLIC ACID","Active Ingredient","",""
"1022","MYCOPHENOLIC ACID","2139",1,"MYCOPHENOLIC ACID (MYCOPHENOLATE SODIUM)","MYCOPHENOLIC ACID","MYCOPHENOLATE SODIUM","HU9DX48N0T","HU9DX48N0T","MYCOPHENOLIC ACID","Active Ingredient","",""
"1023","MYROXYLON BALSAMUM","11977",1,"MYROXYLON BALSAMUM","MYROXYLON BALSAMUM","MYROXYLON BALSAMUM",NA,NA,NA,NA,NA,NA
"1024","N-ACETYL-L-TYROSINE","1353",1,"N-ACETYL-L-TYROSINE","N-ACETYL-L-TYROSINE","N-ACETYL-L-TYROSINE",NA,NA,NA,NA,NA,NA
"1025","NABILONE","2071",1,"NABILONE","NABILONE","NABILONE","2N4O9L084N","2N4O9L084N","NABILONE","Active Ingredient","",""
"1026","NABUMETONE","946",1,"NABUMETONE","NABUMETONE","NABUMETONE","LW0TIW155Z","LW0TIW155Z","NABUMETONE","Active Ingredient","",""
"1027","NADOLOL","2099",1,"NADOLOL","NADOLOL","NADOLOL","FEN504330V","FEN504330V","NADOLOL","Active Ingredient","",""
"1028","NADROPARIN CALCIUM","11714",1,"NADROPARIN CALCIUM","NADROPARIN CALCIUM","NADROPARIN CALCIUM","LIA7Z4002P","1K5KDI46KZ","NADROPARIN","","",""
"1029","NAFARELIN","11439",1,"NAFARELIN (NAFARELIN ACETATE)","NAFARELIN","NAFARELIN ACETATE","1X0094V6JV","1X0094V6JV","NAFARELIN","Active Ingredient","",""
"1030","NALBUPHINE HYDROCHLORIDE","2008",1,"NALBUPHINE HYDROCHLORIDE","NALBUPHINE HYDROCHLORIDE","NALBUPHINE HYDROCHLORIDE","ZU4275277R","L2T84IQI2K","NALBUPHINE","Active Ingredient","",""
"1031","NALOXEGOL","22609",1,"Naloxegol (Naloxegol oxalate)","Naloxegol","Naloxegol oxalate",NA,NA,NA,NA,NA,NA
"1032","NALOXONE","20137",1,"NALOXONE (NALOXONE HYDROCHLORIDE DIHYDRATE)","NALOXONE","NALOXONE HYDROCHLORIDE DIHYDRATE","36B82AMQ7N","36B82AMQ7N","NALOXONE","Active Ingredient","",""
"1033","NALOXONE HYDROCHLORIDE","2474",2,"NALOXONE HYDROCHLORIDE|NALOXONE HYDROCHLORIDE (NALOXONE HYDROCHLORIDE DIHYDRATE)","NALOXONE HYDROCHLORIDE","NALOXONE HYDROCHLORIDE DIHYDRATE","F850569PQR","36B82AMQ7N","NALOXONE","Active Ingredient","",""
"1034","NALOXONE HYDROCHLORIDE","2474",2,"NALOXONE HYDROCHLORIDE|NALOXONE HYDROCHLORIDE (NALOXONE HYDROCHLORIDE DIHYDRATE)","NALOXONE HYDROCHLORIDE","NALOXONE HYDROCHLORIDE DIHYDRATE","F850569PQR","36B82AMQ7N","NALOXONE","Active Moiety","",""
"1035","NALTREXONE HYDROCHLORIDE","20300",1,"NALTREXONE HYDROCHLORIDE","NALTREXONE HYDROCHLORIDE","NALTREXONE HYDROCHLORIDE","Z6375YW9SF","5S6W795CQM","NALTREXONE","Active Ingredient","",""
"1036","NAPHAZOLINE HYDROCHLORIDE","9542",1,"NAPHAZOLINE HYDROCHLORIDE","NAPHAZOLINE HYDROCHLORIDE","NAPHAZOLINE HYDROCHLORIDE","MZ1131787D","H231GF11BV","NAPHAZOLINE","Active Ingredient","",""
"1037","NAPHAZOLINE NITRATE","5642",1,"NAPHAZOLINE NITRATE","NAPHAZOLINE NITRATE","NAPHAZOLINE NITRATE","SC99GR1T5S","H231GF11BV","NAPHAZOLINE","","",""
"1038","NAPROXEN","2414",2,"NAPROXEN|NAPROXEN (NAPROXEN SODIUM)","NAPROXEN","NAPROXEN SODIUM","57Y76R9ATQ","57Y76R9ATQ","NAPROXEN","Active Ingredient","",""
"1039","NAPROXEN SODIUM","2037",1,"NAPROXEN SODIUM","NAPROXEN SODIUM","NAPROXEN SODIUM","9TN87S3A3C","57Y76R9ATQ","NAPROXEN","Active Moiety","",""
"1040","NAPROXEN SODIUM","2037",1,"NAPROXEN SODIUM","NAPROXEN SODIUM","NAPROXEN SODIUM","9TN87S3A3C","57Y76R9ATQ","NAPROXEN","Active Ingredient","",""
"1041","NARATRIPTAN","11770",1,"NARATRIPTAN (NARATRIPTAN HYDROCHLORIDE)","NARATRIPTAN","NARATRIPTAN HYDROCHLORIDE","QX3KXL1ZA2","QX3KXL1ZA2","NARATRIPTAN","Active Ingredient","",""
"1042","NATALIZUMAB","12577",1,"NATALIZUMAB","NATALIZUMAB","NATALIZUMAB","3JB47N2Q2P","3JB47N2Q2P","NATALIZUMAB","Active Ingredient","",""
"1043","NEBIVOLOL","21534",1,"Nebivolol (Nebivolol Hydrochloride)","Nebivolol","Nebivolol Hydrochloride","030Y90569U","030Y90569U","NEBIVOLOL","Active Ingredient","",""
"1044","NEDOCROMIL SODIUM","1324",1,"NEDOCROMIL SODIUM","NEDOCROMIL SODIUM","NEDOCROMIL SODIUM","ET8IF4KS1T","0B535E0BN0","NEDOCROMIL","Active Ingredient","",""
"1045","NELARABINE","16030",1,"NELARABINE","NELARABINE","NELARABINE","60158CV180","60158CV180","NELARABINE","Active Ingredient","",""
"1046","NELFINAVIR","11789",1,"NELFINAVIR (NELFINAVIR MESYLATE)","NELFINAVIR","NELFINAVIR MESYLATE","HO3OGH5D7I","HO3OGH5D7I","NELFINAVIR","Active Ingredient","",""
"1047","NEOMYCIN","8638",1,"NEOMYCIN (NEOMYCIN SULFATE)","NEOMYCIN","NEOMYCIN SULFATE","I16QD7X297","I16QD7X297","NEOMYCIN","Active Ingredient","",""
"1048","NEOMYCIN SULFATE","8636",1,"NEOMYCIN SULFATE","NEOMYCIN SULFATE","NEOMYCIN SULFATE","057Y626693","I16QD7X297","NEOMYCIN","Active Moiety","",""
"1049","NEON","2331",1,"NEON","NEON","NEON",NA,NA,NA,NA,NA,NA
"1050","NEOSTIGMINE METHYLSULFATE","10010",1,"NEOSTIGMINE METHYLSULFATE","NEOSTIGMINE METHYLSULFATE","NEOSTIGMINE METHYLSULFATE","98IMH7M386","3982TWQ96G","NEOSTIGMINE","Active Ingredient","",""
"1051","NEPAFENAC","20215",1,"NEPAFENAC","NEPAFENAC","NEPAFENAC","0J9L7J6V8C","0J9L7J6V8C","NEPAFENAC","Active Ingredient","",""
"1052","NEVIRAPINE","11796",1,"NEVIRAPINE","NEVIRAPINE","NEVIRAPINE","99DK7FVK1H","99DK7FVK1H","NEVIRAPINE","Active Ingredient","",""
"1053","NICOTINAMIDE","5015",1,"NICOTINAMIDE","NICOTINAMIDE","NICOTINAMIDE",NA,NA,NA,NA,NA,NA
"1054","NICOTINIC ACID","5019",1,"NICOTINIC ACID","NICOTINIC ACID","NICOTINIC ACID",NA,NA,NA,NA,NA,NA
"1055","NIFEDIPINE","1966",1,"NIFEDIPINE","NIFEDIPINE","NIFEDIPINE","I9ZF7L6G2L","I9ZF7L6G2L","NIFEDIPINE","Active Ingredient","",""
"1056","NILOTINIB","20378",1,"NILOTINIB (NILOTINIB HYDROCHLORIDE MONOHYDRATE)","NILOTINIB","NILOTINIB HYDROCHLORIDE MONOHYDRATE","F41401512X","F41401512X","NILOTINIB","Active Ingredient","",""
"1057","NILUTAMIDE","1243",1,"NILUTAMIDE","NILUTAMIDE","NILUTAMIDE","51G6I8B902","51G6I8B902","NILUTAMIDE","Active Ingredient","",""
"1058","NIMODIPINE","1910",1,"NIMODIPINE","NIMODIPINE","NIMODIPINE","57WA9QZ5WH","57WA9QZ5WH","NIMODIPINE","Active Ingredient","",""
"1059","NINTEDANIB","22614",1,"NINTEDANIB (NINTEDANIB ESILATE)","NINTEDANIB","NINTEDANIB ESILATE",NA,NA,NA,NA,NA,NA
"1060","NITRAZEPAM","9558",1,"NITRAZEPAM","NITRAZEPAM","NITRAZEPAM","9CLV70W7HS","9CLV70W7HS","NITRAZEPAM","Active Ingredient","",""
"1061","NITRIC OXIDE","16163",1,"NITRIC OXIDE","NITRIC OXIDE","NITRIC OXIDE","31C4KY9ESH","31C4KY9ESH","NITRIC OXIDE","Active Ingredient","",""
"1062","NITROFURANTOIN","10196",1,"NITROFURANTOIN","NITROFURANTOIN","NITROFURANTOIN","927AH8112L","927AH8112L","NITROFURANTOIN","Active Ingredient","",""
"1063","NITROGEN","2332",1,"NITROGEN","NITROGEN","NITROGEN","N762921K75","N762921K75","NITROGEN","Active Ingredient","",""
"1064","NITROGLYCERIN","9412",1,"NITROGLYCERIN","NITROGLYCERIN","NITROGLYCERIN","G59M7S0WS3","G59M7S0WS3","NITROGLYCERIN","Active Ingredient","",""
"1065","NITROUS OXIDE","2329",1,"NITROUS OXIDE","NITROUS OXIDE","NITROUS OXIDE","K50XQU1029","K50XQU1029","NITROUS OXIDE","Active Ingredient","",""
"1066","NIVOLUMAB","22643",1,"NIVOLUMAB","NIVOLUMAB","NIVOLUMAB","31YO63LBSN","31YO63LBSN","NIVOLUMAB","Active Ingredient","",""
"1067","NIZATIDINE","1305",1,"NIZATIDINE","NIZATIDINE","NIZATIDINE","P41PML4GHR","P41PML4GHR","NIZATIDINE","Active Ingredient","",""
"1068","NON POLLEN","3854",1,"NON POLLEN","NON POLLEN","NON POLLEN",NA,NA,NA,NA,NA,NA
"1069","NONACOG GAMMA","22522",1,"Nonacog Gamma","Nonacog Gamma","Nonacog Gamma",NA,NA,NA,NA,NA,NA
"1070","NORELGESTROMIN","12172",1,"NORELGESTROMIN","NORELGESTROMIN","NORELGESTROMIN","R0TAY3X631","R0TAY3X631","NORELGESTROMIN","Active Ingredient","",""
"1071","NOREPINEPHRINE","7393",1,"NOREPINEPHRINE (NOREPINEPHRINE BITARTRATE)","NOREPINEPHRINE","NOREPINEPHRINE BITARTRATE","X4W3ENH1CV","X4W3ENH1CV","NOREPINEPHRINE","Active Ingredient","",""
"1072","NORETHINDRONE","7500",1,"NORETHINDRONE","NORETHINDRONE","NORETHINDRONE","T18F433X4S","T18F433X4S","NORETHINDRONE","Active Ingredient","",""
"1073","NORETHINDRONE ACETATE","7498",1,"NORETHINDRONE ACETATE","NORETHINDRONE ACETATE","NORETHINDRONE ACETATE","9S44LIC7OJ","T18F433X4S","NORETHINDRONE","Active Ingredient","",""
"1074","NORFLOXACIN","1838",1,"NORFLOXACIN","NORFLOXACIN","NORFLOXACIN","N0F8P22L1P","N0F8P22L1P","NORFLOXACIN","Active Ingredient","",""
"1075","NORGESTIMATE","7492",1,"NORGESTIMATE","NORGESTIMATE","NORGESTIMATE","C291HFX4DY","C291HFX4DY","NORGESTIMATE","Active Ingredient","",""
"1076","NORMETHADONE HYDROCHLORIDE","2664",1,"NORMETHADONE HYDROCHLORIDE","NORMETHADONE HYDROCHLORIDE","NORMETHADONE HYDROCHLORIDE",NA,NA,NA,NA,NA,NA
"1077","NORTRIPTYLINE","11121",1,"NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE)","NORTRIPTYLINE","NORTRIPTYLINE HYDROCHLORIDE","BL03SY4LXB","BL03SY4LXB","NORTRIPTYLINE","Active Ingredient","",""
"1078","NYLIDRIN HYDROCHLORIDE","9099",1,"NYLIDRIN HYDROCHLORIDE","NYLIDRIN HYDROCHLORIDE","NYLIDRIN HYDROCHLORIDE","EC69E3PW7E","695DKH33EI","NYLIDRIN","","",""
"1079","NYSTATIN","8508",1,"NYSTATIN","NYSTATIN","NYSTATIN","BDF1O1C72E","BDF1O1C72E","NYSTATIN","Active Ingredient","",""
"1080","OBINUTUZUMAB","22546",1,"Obinutuzumab","Obinutuzumab","Obinutuzumab","O43472U9X8","O43472U9X8","OBINUTUZUMAB","Active Ingredient","",""
"1081","OCRIPLASMIN","22139",1,"OCRIPLASMIN","OCRIPLASMIN","OCRIPLASMIN","7V6HE3DM5A","7V6HE3DM5A","OCRIPLASMIN","Active Ingredient","",""
"1082","OCTINOXATE","12049",1,"OCTINOXATE","OCTINOXATE","OCTINOXATE","4Y5P7MUD51","4Y5P7MUD51","OCTINOXATE","Active Ingredient","",""
"1083","OCTISALATE","12048",1,"OCTISALATE","OCTISALATE","OCTISALATE","4X49Y0596W","4X49Y0596W","OCTISALATE","Active Ingredient","",""
"1084","OCTOCRYLENE","2280",1,"OCTOCRYLENE","OCTOCRYLENE","OCTOCRYLENE","5A68WGF6WM","5A68WGF6WM","OCTOCRYLENE","Active Ingredient","",""
"1085","OCTREOTIDE","1255",1,"OCTREOTIDE (OCTREOTIDE ACETATE)","OCTREOTIDE","OCTREOTIDE ACETATE","RWM8CCW8GP","RWM8CCW8GP","OCTREOTIDE","Active Ingredient","",""
"1086","OFATUMUMAB","21236",1,"Ofatumumab","Ofatumumab","Ofatumumab","M95KG522R0","M95KG522R0","OFATUMUMAB","Active Ingredient","",""
"1087","OFLOXACIN","954",1,"OFLOXACIN","OFLOXACIN","OFLOXACIN","A4P49JAZ9H","A4P49JAZ9H","OFLOXACIN","Active Ingredient","",""
"1088","OIL OF TURPENTINE","3510",1,"OIL OF TURPENTINE","OIL OF TURPENTINE","OIL OF TURPENTINE",NA,NA,NA,NA,NA,NA
"1089","OLANZAPINE","1",2,"OLANZAPINE|OLANZAPINE (OLANZAPINE TARTRATE)","OLANZAPINE","OLANZAPINE TARTRATE","N7U69T4SZR","N7U69T4SZR","OLANZAPINE","Active Ingredient","",""
"1090","OLAPARIB","22712",1,"OLAPARIB","OLAPARIB","OLAPARIB","WOH1JD9AR8","WOH1JD9AR8","OLAPARIB","Active Ingredient","",""
"1091","OLIVE OIL","6627",1,"OLIVE OIL","OLIVE OIL","OLIVE OIL","6UYK2W1W1E","6UYK2W1W1E","OLIVE OIL","Active Ingredient","",""
"1092","OLMESARTAN  MEDOXOMIL","20396",1,"OLMESARTAN  MEDOXOMIL","OLMESARTAN  MEDOXOMIL","OLMESARTAN  MEDOXOMIL",NA,NA,NA,NA,NA,NA
"1093","OLODATEROL","22094",1,"Olodaterol (OLODATEROL HYDROCHLORIDE)","Olodaterol","OLODATEROL HYDROCHLORIDE","VD2YSN1AFD","VD2YSN1AFD","OLODATEROL","Active Ingredient","",""
"1094","OLOPATADINE","11561",1,"OLOPATADINE (OLOPATADINE HYDROCHLORIDE)","OLOPATADINE","OLOPATADINE HYDROCHLORIDE","D27V6190PM","D27V6190PM","OLOPATADINE","Active Ingredient","",""
"1095","OLSALAZINE SODIUM","1226",1,"OLSALAZINE SODIUM","OLSALAZINE SODIUM","OLSALAZINE SODIUM","Y7JEW0XG7I","ULS5I8J03O","OLSALAZINE","Active Ingredient","",""
"1096","OMALIZUMAB","13365",1,"OMALIZUMAB","OMALIZUMAB","OMALIZUMAB","2P471X1Z11","2P471X1Z11","OMALIZUMAB","Active Ingredient","",""
"1097","OMBITASVIR","22554",1,"Ombitasvir","Ombitasvir","Ombitasvir",NA,NA,NA,NA,NA,NA
"1098","OMEPRAZOLE","1250",2,"OMEPRAZOLE|OMEPRAZOLE (OMEPRAZOLE MAGNESIUM)","OMEPRAZOLE","OMEPRAZOLE MAGNESIUM","KG60484QX9","KG60484QX9","OMEPRAZOLE","Active Ingredient","",""
"1099","ONABOTULINUMTOXINA","17056",1,"OnabotulinumtoxinA","OnabotulinumtoxinA","OnabotulinumtoxinA",NA,NA,NA,NA,NA,NA
"1100","ONDANSETRON","11104",3,"ONDANSETRON|ONDANSETRON (ONDANSETRON HYDROCHLORIDE DIHYDRATE)|ONDANSETRON (ONDANSETRON HYDROCHLORIDE)","ONDANSETRON","ONDANSETRON HYDROCHLORIDE DIHYDRATE|ONDANSETRON HYDROCHLORIDE","4AF302ESOS","4AF302ESOS","ONDANSETRON","Active Ingredient","",""
"1101","OPIUM","6897",1,"OPIUM","OPIUM","OPIUM","37M3MZ001L","37M3MZ001L","OPIUM","Active Ingredient","",""
"1102","ORCIPRENALINE SULFATE","9867",1,"ORCIPRENALINE SULFATE","ORCIPRENALINE SULFATE","ORCIPRENALINE SULFATE",NA,NA,NA,NA,NA,NA
"1103","ORLISTAT","11884",1,"ORLISTAT","ORLISTAT","ORLISTAT","95M8R751W8","95M8R751W8","ORLISTAT","Active Ingredient","",""
"1104","ORPHENADRINE CITRATE","10058",1,"ORPHENADRINE CITRATE","ORPHENADRINE CITRATE","ORPHENADRINE CITRATE","X0A40N8I4S","AL805O9OG9","ORPHENADRINE","Active Ingredient","",""
"1105","OSELTAMIVIR","11956",1,"OSELTAMIVIR (OSELTAMIVIR PHOSPHATE)","OSELTAMIVIR","OSELTAMIVIR PHOSPHATE","20O93L6F9H","20O93L6F9H","OSELTAMIVIR","Active Ingredient","",""
"1106","OSIMERTINIB","22731",1,"OSIMERTINIB (OSIMERTINIB MESYLATE)","OSIMERTINIB","OSIMERTINIB MESYLATE",NA,NA,NA,NA,NA,NA
"1107","OUTER MEMBRANE VESICLES","22179",1,"Outer membrane vesicles (Neisseria meningitidis group B NZ98/254 strain)","Outer membrane vesicles","Neisseria meningitidis group B NZ98/254 strain",NA,NA,NA,NA,NA,NA
"1108","OXALIPLATIN","20139",1,"OXALIPLATIN","OXALIPLATIN","OXALIPLATIN","04ZR38536J","04ZR38536J","OXALIPLATIN","Active Ingredient","",""
"1109","OXAPROZIN","1863",1,"OXAPROZIN","OXAPROZIN","OXAPROZIN","MHJ80W9LRB","MHJ80W9LRB","OXAPROZIN","Active Ingredient","",""
"1110","OXAZEPAM","9956",1,"OXAZEPAM","OXAZEPAM","OXAZEPAM","6GOW6DWN2A","6GOW6DWN2A","OXAZEPAM","Active Ingredient","",""
"1111","OXCARBAZEPINE","11984",1,"OXCARBAZEPINE","OXCARBAZEPINE","OXCARBAZEPINE","VZI5B1W380","VZI5B1W380","OXCARBAZEPINE","Active Ingredient","",""
"1112","OXETACAINE","5201",1,"OXETACAINE","OXETACAINE","OXETACAINE",NA,NA,NA,NA,NA,NA
"1113","OXTRIPHYLLINE","10278",1,"OXTRIPHYLLINE","OXTRIPHYLLINE","OXTRIPHYLLINE","3K045XR58X","0I55128JYK","THEOPHYLLINE ANHYDROUS","","",""
"1114","OXYBENZONE","33",1,"OXYBENZONE","OXYBENZONE","OXYBENZONE","95OOS7VE0Y","95OOS7VE0Y","OXYBENZONE","Active Ingredient","",""
"1115","OXYBUTYNIN","13333",1,"OXYBUTYNIN","OXYBUTYNIN","OXYBUTYNIN","K9P6MC7092","K9P6MC7092","OXYBUTYNIN","Active Ingredient","",""
"1116","OXYBUTYNIN CHLORIDE","10040",1,"OXYBUTYNIN CHLORIDE","OXYBUTYNIN CHLORIDE","OXYBUTYNIN CHLORIDE","L9F3D9RENQ","K9P6MC7092","OXYBUTYNIN","Active Ingredient","",""
"1117","OXYCODONE","6167",1,"OXYCODONE (OXYCODONE HYDROCHLORIDE)","OXYCODONE","OXYCODONE HYDROCHLORIDE","CD35PMG570","CD35PMG570","OXYCODONE","Active Ingredient","",""
"1118","OXYCODONE HYDROCHLORIDE","6165",1,"OXYCODONE HYDROCHLORIDE","OXYCODONE HYDROCHLORIDE","OXYCODONE HYDROCHLORIDE","C1ENJ2TE6C","CD35PMG570","OXYCODONE","Active Ingredient","",""
"1119","OXYGEN","2333",1,"OXYGEN","OXYGEN","OXYGEN","S88TT14065","S88TT14065","OXYGEN","Active Ingredient","",""
"1120","OXYMETAZOLINE HYDROCHLORIDE","10195",1,"OXYMETAZOLINE HYDROCHLORIDE","OXYMETAZOLINE HYDROCHLORIDE","OXYMETAZOLINE HYDROCHLORIDE","K89MJ0S5VY","8VLN5B44ZY","OXYMETAZOLINE","Active Ingredient","",""
"1121","OXYQUINOLINE SULFATE","6977",1,"OXYQUINOLINE SULFATE","OXYQUINOLINE SULFATE","OXYQUINOLINE SULFATE","61VUG75Y3P","5UTX5635HP","OXYQUINOLINE","Active Moiety","",""
"1122","OXYTOCIN","7375",1,"OXYTOCIN","OXYTOCIN","OXYTOCIN","1JQS135EYN","1JQS135EYN","OXYTOCIN","Active Ingredient","",""
"1123","P-HYDROXYEPHEDRINE HYDROCHLORIDE","8934",1,"P-HYDROXYEPHEDRINE HYDROCHLORIDE","P-HYDROXYEPHEDRINE HYDROCHLORIDE","P-HYDROXYEPHEDRINE HYDROCHLORIDE",NA,NA,NA,NA,NA,NA
"1124","PACLITAXEL","732",2,"PACLITAXEL|PACLITAXEL (TAXUS CANADENSIS)","PACLITAXEL","TAXUS CANADENSIS","P88XT4IS4D","P88XT4IS4D","PACLITAXEL","Active Ingredient","",""
"1125","PADIMATE O","2129",1,"PADIMATE O","PADIMATE O","PADIMATE O","Z11006CMUZ","Z11006CMUZ","PADIMATE O","Active Ingredient","",""
"1126","PALBOCICLIB","22703",1,"PALBOCICLIB","PALBOCICLIB","PALBOCICLIB","G9ZF61LE7G","G9ZF61LE7G","PALBOCICLIB","Active Ingredient","",""
"1127","PALIPERIDONE","20163",2,"PALIPERIDONE|PALIPERIDONE (Paliperidone Palmitate)","PALIPERIDONE","Paliperidone Palmitate","838F01T721","838F01T721","PALIPERIDONE","Active Ingredient","",""
"1128","PALIVIZUMAB","12770",1,"PALIVIZUMAB","PALIVIZUMAB","PALIVIZUMAB","DQ448MW7KS","DQ448MW7KS","PALIVIZUMAB","Active Ingredient","",""
"1129","PALONOSETRON","21240",1,"PALONOSETRON (PALONOSETRON HYDROCHLORIDE)","PALONOSETRON","PALONOSETRON HYDROCHLORIDE","5D06587D6R","5D06587D6R","PALONOSETRON","Active Ingredient","",""
"1130","PAMABROM","9437",1,"PAMABROM","PAMABROM","PAMABROM","UA8U0KJM72","FZG87K1MQ6","BROMOTHEOPHYLLINE","Active Ingredient","",""
"1131","PAMIDRONATE DISODIUM","896",1,"PAMIDRONATE DISODIUM","PAMIDRONATE DISODIUM","PAMIDRONATE DISODIUM","8742T8ZQZA","OYY3447OMC","PAMIDRONIC ACID","Active Ingredient","",""
"1132","PANCURONIUM BROMIDE","2497",1,"PANCURONIUM BROMIDE","PANCURONIUM BROMIDE","PANCURONIUM BROMIDE","U9LY9Y75X2","J76UF062FS","PANCURONIUM","Active Ingredient","",""
"1133","PANITUMUMAB","20210",1,"PANITUMUMAB","PANITUMUMAB","PANITUMUMAB","6A901E312A","6A901E312A","PANITUMUMAB","Active Ingredient","",""
"1134","PANTOPRAZOLE","11086",4,"PANTOPRAZOLE (PANTOPRAZOLE MAGNESIUM)|PANTOPRAZOLE (PANTOPRAZOLE SODIUM SESQUIHYDRATE)|PANTOPRAZOLE (PANTOPRAZOLE SODIUM)|PANTOPRAZOLE (Pantoprazole magnesium hemipentahydrate)","PANTOPRAZOLE","PANTOPRAZOLE MAGNESIUM|PANTOPRAZOLE SODIUM SESQUIHYDRATE|PANTOPRAZOLE SODIUM|Pantoprazole magnesium hemipentahydrate","D8TST4O562","D8TST4O562","PANTOPRAZOLE","Active Ingredient","",""
